key=train   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:4, MapReduceAssignment/test3:19
key=finding   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:5, MapReduceAssignment/test3:5
key=assumes   value=MapReduceAssignment/test1:1
key=wrong.   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:1
key=pawns_   value=MapReduceAssignment/test1:1
key=ample   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:19
key=relinquish   value=MapReduceAssignment/test1:1
key=kt.   value=MapReduceAssignment/test1:3
key=facilitating   value=MapReduceAssignment/test1:1
key=penalty   value=MapReduceAssignment/test1:1
key=4...b   value=MapReduceAssignment/test1:1
key=perfectly   value=MapReduceAssignment/test1:7, MapReduceAssignment/test3:11
key=alternatives   value=MapReduceAssignment/test1:1
key=development,   value=MapReduceAssignment/test1:8, MapReduceAssignment/test3:14
key=suffice   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1, MapReduceAssignment/test3:5
key=armour,   value=MapReduceAssignment/test1:1
key=delay   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1, MapReduceAssignment/test3:1
key=agree   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:10, MapReduceAssignment/test3:12
key=discussions   value=MapReduceAssignment/test1:1
key=proficient   value=MapReduceAssignment/test1:1
key=developed   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:3
key=loses   value=MapReduceAssignment/test1:12, MapReduceAssignment/test3:3
key=black,   value=MapReduceAssignment/test1:15, MapReduceAssignment/test2:2, MapReduceAssignment/test3:8
key=left   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:44, MapReduceAssignment/test3:100
key=warned   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:2
key=indulged   value=MapReduceAssignment/test1:1
key=shown)   value=MapReduceAssignment/test1:1
key=recaptured   value=MapReduceAssignment/test1:1
key=comes--   value=MapReduceAssignment/test1:1
key=help   value=MapReduceAssignment/test1:10, MapReduceAssignment/test2:25, MapReduceAssignment/test3:25
key=inferior   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:5
key=miss   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:5, MapReduceAssignment/test3:8
key=traps--in   value=MapReduceAssignment/test1:1
key=search   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:7, MapReduceAssignment/test3:3
